"Id","Sales"
1,4094.61
2,6371.24
3,8066.87
4,5972.32
5,5632.01
6,5024.01
7,7442.02
8,6920.33
9,4163.78
10,5089.93
11,6167.30
12,7003.81
13,5991.47
14,7699.78
15,4693.99
16,3888.15
17,4943.13
18,8225.37
19,9866.89
20,8296.90
21,6110.42
22,5042.08
23,5349.65
24,3609.47
25,7200.40
26,8576.23
27,7960.00
28,4871.56
29,4367.36
30,4343.18
31,4569.94
32,9007.51
33,6185.67
34,4828.46
35,4470.67
36,6705.18
37,3647.86
38,6194.80
39,3682.96
40,5711.89
41,6490.59
42,4971.53
43,6346.36
44,5359.71
45,3957.19
46,6000.87
47,6313.21
48,9404.30
49,5507.67
50,7178.07
51,6635.57
52,8412.53
53,5832.58
54,8023.43
55,3970.61
56,4566.27
57,5549.19
58,5490.08
59,7733.50
60,6592.49
61,4816.01
62,6666.98
63,5479.74
64,8705.81
65,3385.37
66,11285.99
67,4181.75
68,5211.07
69,7319.99
70,4944.00
71,5169.34
72,5537.76
73,6398.81
74,4540.40
75,4244.07
76,6510.70
77,6777.77
78,6016.03
79,3876.40
80,6481.05
81,9245.39
82,5882.35
83,4374.99
84,5982.30
85,5551.43
86,5856.78
87,5848.15
88,3563.85
89,6653.34
90,5377.20
91,6247.74
92,6205.93
93,3818.30
94,6086.90
95,4282.71
96,6375.41
97,8052.67
98,4627.13
99,4643.07
100,5378.30
101,5130.45
102,4581.23
103,7075.95
104,5709.65
105,6769.57
106,4983.87
107,4091.31
108,5495.02
109,7267.93
110,7087.48
111,6887.02
112,6871.73
113,4922.51
114,7673.85
115,4891.04
116,6539.26
117,7907.53
118,5691.20
119,8696.85
120,6948.61
121,6534.29
122,5288.32
123,6200.13
124,6721.21
125,5453.82
126,3456.21
127,5127.67
128,6845.60
129,6061.18
130,4362.23
131,7553.56
132,5890.16
133,4946.53
134,5106.98
135,4875.74
136,6395.80
137,6588.13
138,5929.35
139,4603.01
140,4022.21
141,5729.24
142,3193.29
143,5664.19
144,4257.30
145,7881.38
146,6060.35
147,5614.61
148,7138.51
149,4561.93
150,4274.50
151,9055.75
152,6026.64
153,7050.07
154,6815.19
155,4948.00
156,5298.77
157,4755.33
158,7009.76
159,10143.84
160,5964.99
161,2814.02
162,4321.08
163,6955.53
164,7622.07
165,5190.42
166,6192.14
167,4424.84
168,4888.50
169,2868.99
170,4431.07
171,5387.51
172,5745.21
173,6484.90
174,5205.87
175,6944.99
176,7884.07
177,6862.50
178,3965.06
179,8393.73
180,9143.76
181,5430.18
182,6843.89
183,4486.60
184,5575.99
185,3643.76
186,6339.06
187,4324.76
188,7871.50
189,6585.93
190,7648.79
191,7676.33
192,5040.06
193,7148.67
194,16971.68
195,9254.80
196,4988.69
197,2470.96
198,5335.36
199,8539.02
200,5019.50
201,11603.19
202,19705.41
203,2884.02
204,4640.93
205,9383.18
206,4337.97
207,8136.21
208,5945.63
209,6163.18
210,3745.83
211,5915.05
212,5393.75
213,6728.24
214,7025.56
215,5687.76
216,5404.41
217,6026.70
218,4253.08
219,4154.96
220,6656.12
221,4952.33
222,5443.15
223,6120.46
224,5507.82
225,4498.65
226,6491.26
227,6240.69
228,7205.40
229,5741.67
230,6270.25
231,5189.16
232,3116.27
233,5485.89
234,6655.39
235,4524.32
236,3983.21
237,8021.22
238,6384.38
239,8270.76
240,5983.59
241,5042.41
242,4871.08
243,4192.44
244,8668.24
245,4263.99
246,7274.65
247,14034.61
248,6504.01
249,7395.69
250,4458.01
251,4075.07
252,6409.10
253,3610.72
254,5818.68
255,9348.55
256,4881.01
257,14181.90
258,12598.81
259,4330.17
260,6357.59
261,4426.96
262,6007.47
263,4843.61
264,9370.40
265,6470.56
266,7982.80
267,4020.26
268,6197.82
269,4242.24
270,7180.84
271,6138.36
272,5275.50
273,6154.71
274,5503.03
275,6990.88
276,9109.88
277,4871.07
278,8713.15
279,6154.03
280,8209.23
281,4242.87
282,4462.57
283,4703.50
284,8299.99
285,5887.76
286,7009.27
287,5925.47
288,7545.81
289,3937.56
290,7414.70
291,5663.12
292,3682.31
293,12193.84
